profile_gender,profile_age,work_country,work_province,profile_years_experience,work_years_in_company,work_years_in_current_position,work_people_in_charge_of,profile_studies_level,profile_studies_level_state,profile_career,profile_university,profile_specialization_courses,profile_open_source_contributions,profile_programming_as_hobby,work_role,tools_platform,tools_programming_languages,tools_frameworks,tools_data_bases,tools_qa_testing,tools_IDEs,tools_work_pc_os,tools_cellphone_os,work_on_call_duty,salary_on_call_duty_charge,work_on_call_duty_charge_type,work_contract_type,salary_monthly_BRUTO,salary_monthly_NETO,salary_in_usd,salary_satisfaction,salary_comparison_last_semester,salary_has_bonus,salary_bonus_tied_to,salary_inflation_adjustment_2020,salary_percentage_inflation_adjustment_2020,salary_month_last_inflation_adjustment,work_has_violence_situations,profile_sexual_orientation,profile_has_disabilities,profile_has_disabilities_hiring_difficulties,company_employee_number,company_main_activity,company_recommended,company_diversity_policies,company_extra_benefits,company_best_companies_city
Hombre,25,Argentina,Córdoba,1.0,0.0,0.0,0,Terciario,En curso,Analista de Sistemas,Instituto Terciario Interior de Córdoba,"Sí, de forma particular",Sí,Sí,Developer,"Docker, Linux","HTML, Javascript, Python","Bootstrap, Django, jQuery",PostgreSQL,Python Unittest,Visual Studio Code,GNU/Linux,Android,No,0.0,Porcentaje de mi sueldo,Freelance,36800.0,36800.0,,3,4,No,No recibo bono,Uno,15.0,7,En un trabajo anterior,Heterosexual,,No,1-10,Producto basado en Software,8,7,"Horarios flexibles, Sueldo divido en dos pagos por mes",
Hombre,37,Argentina,Ciudad Autónoma de Buenos Aires,15.0,15.0,7.0,0,Universitario,Completado,Ingeniería en Sistemas de Información,UAI - Universidad Abierta Interamericana,"Sí, de forma particular",No,Sí,Developer,"Docker, Linux, Solaris","Bash/Shell, Python","Bootstrap, Django","MySQL, Oracle",Ninguna,PyCharm,macOS,iOS,"Sí, pasiva",12.0,Porcentaje de mi sueldo,Full-Time,93735.0,94621.0,,2,2,Un sueldo,Mix de las anteriores,Uno,8.0,3,Jamás,Heterosexual,,No,5001-10000,Otras industrias,4,4,"Abono de celular, Horarios flexibles",
Hombre,34,Argentina,Tucumán,10.0,1.0,1.0,0,Universitario,Incompleto,Licenciatura en Informática,Universidad Nacional de Tucumán,"Sí, de forma particular",No,Sí,Developer,"Firebase, Windows Server","CSS, HTML, Javascript, PHP, SQL","Angular, Bootstrap, Flutter, jQuery, Laravel, Vue.js, WordPress","MariaDB, Microsoft SQL Server, MySQL, SQLite",Ninguna,"Android Studio, Visual Studio Code",Windows,Android,No,0.0,Bruto,Full-Time,70000.0,63000.0,,2,2,No,No recibo bono,Uno,15.0,6,Jamás,Heterosexual,,No,11-50,Otras industrias,8,8,Ninguna de las anteriores,
Hombre,45,Argentina,GBA,20.0,21.0,5.0,5,Secundario,Completado,,,"Sí, de forma particular, Sí, los pagó un empleador",No,Sí,Manager / Director,"Google Cloud Platform/App Engine, Linux","HTML, Javascript, PHP, SQL",WordPress,"MariaDB, MySQL",Ninguna,"NetBeans, Notepad++, Sublime Text",Windows,Android,No,0.0,Bruto,Full-Time,102000.0,92000.0,,3,3,No,No recibo bono,Uno,18.0,1,Jamás,Heterosexual,,,51-100,Producto basado en Software,9,7,"Abono de celular, Horarios flexibles, Vacaciones flexibles (adicionales a las reglamentarias)",
Hombre,42,Argentina,Córdoba,10.0,0.0,0.0,3,Universitario,Incompleto,Ingeniería en Sistemas de Información,UTN - Universidad Tecnológica Nacional,"Sí, de forma particular",No,Sí,Technical Leader,"Azure, VMWare, Windows Server",".NET, C#, Delphi, HTML, Java, Javascript, PHP, SQL, TypeScript, VBA",".NET Core, Angular, Bootstrap, jQuery","MariaDB, Microsoft Azure (Tables, CosmosDB, SQL, etc), Microsoft SQL Server, MongoDB, MySQL","Selenium, Visual Studio Coded UI","Eclipse, Notepad++, Visual Studio, Visual Studio Code",Windows,Android,No,0.0,Porcentaje de mi sueldo,Full-Time,102000.0,80000.0,Mi sueldo está dolarizado,1,1,De uno a tres sueldos,Mix de las anteriores,No,0.0,0,Jamás,Heterosexual,,,2001-5000,Servicios / Consultoría de Software / Digital,3,7,"Descuentos varios (Mercado Pago, Clarín 365, Club La Nación, etc), Horarios flexibles",
Hombre,31,Argentina,Ciudad Autónoma de Buenos Aires,10.0,4.0,4.0,0,Terciario,Completado,Tecnicatura en Informática,Teclab,"Sí, de forma particular, Sí, los pagó un empleador",No,Sí,SysAdmin / DevOps / SRE,"Azure, Linux, VMWare, Windows Server","Bash/Shell, PHP",Ninguno,"Microsoft SQL Server, MySQL, PostgreSQL, SQLite",Ninguna,"Notepad++, Vim",Windows,Android,No,0.0,Bruto,Full-Time,100000.0,75000.0,,3,3,Menos de un sueldo,anual,Tres,17.0,5,Jamás,Heterosexual,,,101-200,Otras industrias,8,4,Clases de idiomas,
Hombre,24,Argentina,Córdoba,4.0,0.0,0.0,0,Terciario,Completado,Tecnicatura en Programación,UTN - Universidad Tecnológica Nacional,"Sí, de forma particular",No,Sí,Developer,"Azure, Docker, Kubernetes, Linux, Serverless, Windows Server",".NET, C#, CSS, HTML, Javascript, SQL, TypeScript",".NET Core, jQuery","Microsoft Azure (Tables, CosmosDB, SQL, etc)","NUnit, Postman","Visual Studio, Visual Studio Code",Windows,Android,No,0.0,Bruto,Full-Time,140000.0,100000.0,,3,3,No,No recibo bono,No,0.0,0,Jamás,Heterosexual,,No,5001-10000,Servicios / Consultoría de Software / Digital,8,10,"Abono de Internet, Capacitaciones y/o cursos, Clases de idiomas, Horarios flexibles, Licencia de paternidad/maternidad extendida, Vacaciones flexibles (adicionales a las reglamentarias)",Globant
Mujer,31,Argentina,Ciudad Autónoma de Buenos Aires,3.0,2.0,2.0,0,Universitario,Completado,Ingeniería en Informática,UBA - Universidad de Buenos Aires,"Sí, los pagó un empleador",No,Sí,Developer,"Kubernetes, Linux","HTML, Java, Javascript",Bootstrap,Microsoft SQL Server,"Cucumber, JUnit, Postman, Selenium","IntelliJ, Visual Studio Code",GNU/Linux,Android,No,0.0,Porcentaje de mi sueldo,Full-Time,88000.0,70000.0,,3,3,Un sueldo,Performance de la compañía,Dos,30.0,2,En un trabajo anterior,Heterosexual,,,11-50,Servicios / Consultoría de Software / Digital,8,7,"Capacitaciones y/o cursos, Comidas pagas / subvencionadas, Horarios flexibles, Vacaciones flexibles (adicionales a las reglamentarias)",
Hombre,22,Argentina,Córdoba,1.0,0.0,0.0,0,Universitario,En curso,Licenciatura en Ciencias dela Computación,UNRC - Universidad Nacional de Río Cuarto,No,Sí,Sí,SysAdmin / DevOps / SRE,"Amazon Web Services, Docker, Kubernetes, Linux",Python,"Django, Flask","PostgreSQL, SQLite",Selenium,"IntelliJ, Nano, PyCharm, Sublime Text, Vi",GNU/Linux,Android,No,0.0,Porcentaje de mi sueldo,Full-Time,125000.0,93000.0,,4,4,No,No recibo bono,Uno,10.0,5,Jamás,Heterosexual,,,1-10,Producto basado en Software,8,8,"Capacitaciones y/o cursos, Clases de idiomas, Comidas pagas / subvencionadas, Horarios flexibles, Viáticos",
Hombre,26,Argentina,Ciudad Autónoma de Buenos Aires,3.0,1.0,1.0,0,Terciario,Completado,Analista de Sistemas,UTN - Universidad Tecnológica Nacional,"Sí, de forma particular",No,Sí,Data Scientist / Data Engineer,"Amazon Web Services, Docker, Linux, Serverless","Python, Scala, SQL","Hadoop, Spark","Apache Hive, PostgreSQL",Ninguna,"Vim, Visual Studio Code",Windows,Android,"Sí, pasiva",100.0,Porcentaje de mi sueldo,Full-Time,75000.0,68000.0,,3,3,Menos de un sueldo,Performance de la compañía,Uno,20.0,3,Jamás,Heterosexual,,No,201-500,Producto basado en Software,8,6,"Capacitaciones y/o cursos, Clases de gimnasia online, Clases de idiomas, Comidas pagas / subvencionadas, Horarios flexibles, Vacaciones flexibles (adicionales a las reglamentarias)","Medallia, Jamp, Wildlife Studios, MongoDB"
