profile_gender,profile_age,work_country,work_province,profile_years_experience,work_years_in_company,work_years_in_current_position,work_people_in_charge_of,profile_studies_level,profile_studies_level_state,profile_career,profile_university,profile_specialization_courses,profile_open_source_contributions,profile_programming_as_hobby,work_role,tools_platform,tools_programming_languages,tools_frameworks,tools_data_bases,tools_qa_testing,tools_IDEs,tools_work_pc_os,tools_cellphone_os,work_on_call_duty,salary_on_call_duty_charge,work_on_call_duty_charge_type,work_contract_type,salary_monthly_BRUTO,salary_monthly_NETO,salary_in_usd,salary_satisfaction,salary_comparison_last_semester,salary_has_bonus,salary_bonus_tied_to,salary_inflation_adjustment_2020,salary_percentage_inflation_adjustment_2020,salary_month_last_inflation_adjustment,work_has_violence_situations,profile_sexual_orientation,profile_has_disabilities,profile_has_disabilities_hiring_difficulties,company_employee_number,company_main_activity,company_recommended,company_diversity_policies,company_extra_benefits,company_best_companies_city
Hombre,26,Argentina,Ciudad Autónoma de Buenos Aires,3.0,1.0,0.0,0,Universitario,Completado,Licenciatura en Análisis de Sistemas,UBA - Universidad de Buenos Aires,"Sí, de forma particular",No,Sí,Technical Leader,"Docker, Kubernetes","Bash/Shell, Javascript, PHP, SQL, TypeScript","Angular, Bootstrap, jQuery, Laravel, Node.js, React.js","PostgreSQL, Redis","Mocha, PHPUnit","IntelliJ, Visual Studio Code",macOS,iOS,No,0.0,Porcentaje de mi sueldo,Full-Time,230000.0,165000.0,,4,4,No,No recibo bono,Dos,65.0,7,Jamás,Heterosexual,,No,11-50,Producto basado en Software,7,8,"Clases de gimnasia online, Clases de idiomas, Licencia de paternidad/maternidad extendida, Stock options / RSUs, Vacaciones flexibles (adicionales a las reglamentarias)",
Hombre,22,Argentina,Ciudad Autónoma de Buenos Aires,1.0,0.0,0.0,0,Universitario,En curso,Licenciatura en Informática,UNQ - Universidad Nacional de Quilmes,"Sí, de forma particular, Sí, los pagó un empleador",No,Sí,Developer,"Azure, Kubernetes, Linux","Javascript, SQL, TypeScript","Angular, Node.js, NestJs, express, sequelize",PostgreSQL,Ninguna,"Android Studio, Visual Studio Code",GNU/Linux,Android,No,0.0,Neto,Full-Time,52300.0,44500.0,,3,4,Menos de un sueldo,Confidencialidad,No,0.0,0,Jamás,Heterosexual,"Visual, Auditiva",No,11-50,Producto basado en Software,10,10,"Abono de celular, Abono de Internet, Capacitaciones y/o cursos, Clases de gimnasia online, Clases de idiomas, Horarios flexibles, Viáticos, Millas de viajes",
Hombre,38,Argentina,GBA,10.0,0.0,10.0,0,Terciario,Incompleto,Tecnicatura Superior en Sistemas Informáticos,UTN - Universidad Tecnológica Nacional,"Sí, de forma particular",No,No,Developer,Amazon Web Services,"Go, Javascript, SQL",Node.js,"Amazon DynamoDB, MySQL",Postman,"Visual Studio Code, Xcode",macOS,Android,"Sí, pasiva",0.0,Porcentaje de mi sueldo,Full-Time,140000.0,100000.0,,4,4,De uno a tres sueldos,Mix de las anteriores,Dos,30.0,7,En un trabajo anterior,Heterosexual,,No,10001+,Producto basado en Software,10,10,"Capacitaciones y/o cursos, Clases de gimnasia online, Clases de idiomas, Comidas pagas / subvencionadas, Descuentos varios (Mercado Pago, Clarín 365, Club La Nación, etc), Horarios flexibles, Vacaciones flexibles (adicionales a las reglamentarias)",
Hombre,27,Argentina,Ciudad Autónoma de Buenos Aires,6.0,3.0,1.0,1,Universitario,Incompleto,Ingeniería en Sistemas de Información,UTN - Universidad Tecnológica Nacional,No,No,No,Implementador IAM,"Linux, VMWare, Windows Server","Java, Javascript",Ninguno,"IBM Db2, Microsoft SQL Server, Oracle",Ninguna,"Eclipse, Notepad++",Windows,Android,No,0.0,Porcentaje de mi sueldo,Full-Time,114000.0,85000.0,,3,3,Un sueldo,Performance individual,No,0.0,0,Jamás,¿Qué les importa?,,,10001+,Servicios / Consultoría de Software / Digital,6,3,"Abono de celular, Capacitaciones y/o cursos, Clases de idiomas",
Hombre,25,Argentina,Ciudad Autónoma de Buenos Aires,1.0,1.0,1.0,2,Terciario,Completado,Comercio exterior,IUNP,No,No,Sí,Developer,Amazon Web Services,"CSS, HTML, Javascript, PHP, SQL, TypeScript","Angular, Bootstrap, Cordova, jQuery, Laravel, Node.js, Ionic",MySQL,Ninguna,"Android Studio, Visual Studio Code",Windows,iOS,No,0.0,Bruto,Full-Time,66292.88,55022.36,,2,2,De uno a tres sueldos,Performance grupal,Uno,20.0,1,Jamás,Heterosexual,,,101-200,Otras industrias,7,9,"Capacitaciones y/o cursos, Horarios flexibles","Mercado libre, Brubank "
Hombre,32,Argentina,Ciudad Autónoma de Buenos Aires,3.0,3.0,3.0,0,Posgrado,En curso,Licenciatura en Estadistica,Universidad Tres de Febrero,"Sí, de forma particular, Sí, los pagó un empleador",No,Sí,Data Scientist / Data Engineer,"AIX, Amazon Web Services","Python, SQL","Hadoop, Spark",Apache Hive,Ninguna,"IPython / Jupyter, Visual Studio Code",Windows,Android,No,0.0,Bruto,Full-Time,108000.0,85000.0,,1,1,De uno a tres sueldos,Mix de las anteriores,Uno,40.0,4,En un trabajo anterior,Heterosexual,,,11-50,Servicios / Consultoría de Software / Digital,8,10,"Capacitaciones y/o cursos, Descuentos varios (Mercado Pago, Clarín 365, Club La Nación, etc), Horarios flexibles, Vacaciones flexibles (adicionales a las reglamentarias)","Google, TeraCode, Etermax"
Hombre,26,Argentina,Ciudad Autónoma de Buenos Aires,6.0,0.0,0.0,0,Universitario,En curso,Lic. en Tecnologías aplicadas a la seguridad (UTN),UTN - Universidad Tecnológica Nacional,"Sí, de forma particular, Sí, los pagó un empleador",Sí,No,Arquitecto de Seguridad,"Amazon Web Services, Azure, Google Cloud Platform/App Engine, IBM Cloud / Watson, Linux, OpenShift, VMWare, Windows Server, CASB, FIREWALL","Python, R",Ninguno,Teradata,Postman,Anaconda,Windows,Android,No,0.0,Bruto,Full-Time,115000.0,87000.0,,3,3,No,"Objetivos equipo, gerencia, área",Uno,20.0,3,Jamás,Heterosexual,,No,5001-10000,Otras industrias,10,10,"Capacitaciones y/o cursos, Clases de gimnasia online, Cuota para universidad / posgrados, Estacionamiento gratuito / subvencionado, Horarios flexibles, Licencia de paternidad/maternidad extendida",
Hombre,42,Argentina,Ciudad Autónoma de Buenos Aires,24.0,11.0,6.0,30,Doctorado,En curso,Ingeniería en Informática,UCA - Universidad Católica Argentina,"Sí, de forma particular",Sí,Sí,Manager / Director,"Docker, Kubernetes, Linux, OpenShift, Serverless, VMWare",".NET, C++, C#, Go, Java, Javascript, Python, Scala, SQL, TypeScript","Angular, Hadoop, Hibernate, jQuery, Spark, Spring, WordPress","Apache HBase, Cassandra, ElasticSearch, IBM Db2, MariaDB, Microsoft SQL Server, MongoDB, MySQL, Neo4j, Oracle, PostgreSQL",JUnit,Eclipse,GNU/Linux,Android,No,0.0,Bruto,Full-Time,220000.0,132000.0,,3,3,3+ sueldos,Performance individual,Uno,12.0,1,En un trabajo anterior,Heterosexual,,,201-500,Otras industrias,3,5,"Abono de celular, Capacitaciones y/o cursos, Clases de gimnasia online",
Hombre,28,Argentina,Santa Fe,5.0,2.0,2.0,0,Universitario,Incompleto,Ingeniería en Sistemas de Información,UTN - Universidad Tecnológica Nacional,"Sí, de forma particular, Sí, los pagó un empleador",No,Sí,Developer,"Amazon Web Services, Docker, Linux","Bash/Shell, Java",Ninguno,Ninguna,JUnit,"IntelliJ, Sublime Text",GNU/Linux,Android,No,0.0,Porcentaje de mi sueldo,Full-Time,144700.0,107800.0,,3,3,No,No recibo bono,Dos,10.0,4,Jamás,Heterosexual,,,201-500,Servicios / Consultoría de Software / Digital,8,8,"Capacitaciones y/o cursos, Clases de idiomas, Lactario en la oficina",
Hombre,26,Argentina,Ciudad Autónoma de Buenos Aires,4.0,0.0,0.0,0,Universitario,Completado,Ingeniería en Informática,Universidad Alejandro de Humboldt,"Sí, de forma particular",No,No,Developer,Firebase,".NET, C#, CSS, HTML, Javascript, SQL",".NET Core, Bootstrap, jQuery","ElasticSearch, Microsoft SQL Server","NUnit, TFS","Visual Studio, Visual Studio Code",Windows,Android,No,0.0,Porcentaje de mi sueldo,Full-Time,90000.0,78000.0,,3,2,Menos de un sueldo,Título,Uno,10.0,7,Jamás,Heterosexual,,,11-50,Producto basado en Software,8,9,Clases de idiomas,
Hombre,34,Argentina,Provincia de Buenos Aires,15.0,4.0,4.0,13,Universitario,Incompleto,Licenciatura en Informática,UNQ - Universidad Nacional de Quilmes,"Sí, de forma particular, Sí, los pagó un empleador",Sí,Sí,Manager / Director,"Docker, Linux","CSS, HTML, Javascript, PHP, Python, Ruby, SQL","Angular, Bootstrap, Cordova, Node.js, Symfony, Vue.js, WordPress","ElasticSearch, MariaDB, MySQL, PostgreSQL, Redis","PHPUnit, Postman","Nano, Sublime Text, Visual Studio Code",macOS,Android,"Sí, pasiva",7000.0,Neto,Full-Time,140000.0,,,3,3,No,No recibo bono,Dos,4.0,6,Jamás,Heterosexual,,,1001-2000,Otras industrias,3,5,"Estacionamiento gratuito / subvencionado, Horarios flexibles, Licencia de paternidad/maternidad extendida, Vacaciones flexibles (adicionales a las reglamentarias)",
Mujer,28,Argentina,GBA,5.0,2.7,1.0,0,Universitario,Completado,Lic. Ciencias Fiscales,Escuela Nacional de Administración y Hacienda Publica,"Sí, de forma particular",No,No,Business Partner IT,Ninguna,Ninguno,Ninguno,"Microsoft SQL Server, MongoDB",Postman,Ninguno,Windows,Android,No,0.0,Porcentaje de mi sueldo,Full-Time,91683.0,77197.0,,3,3,No,No recibo bono,Dos,20.0,5,Jamás,Heterosexual,,,5001-10000,Otras industrias,8,9,"Abono de celular, Comidas pagas / subvencionadas, Estacionamiento gratuito / subvencionado, Lactario en la oficina",
Hombre,33,Argentina,Provincia de Buenos Aires,15.0,11.0,6.0,0,Universitario,Incompleto,Ingeniería en Sistemas de Información,UTN - Universidad Tecnológica Nacional,"Sí, de forma particular",No,Sí,Developer,"Linux, VMWare, Windows Server","Bash/Shell, HTML, Javascript, PHP, Python, SQL","Bootstrap, jQuery","MariaDB, Microsoft SQL Server, MySQL",Ninguna,"Notepad++, Sublime Text, Visual Studio Code",Windows,Android,No,0.0,Neto,Full-Time,90000.0,70000.0,,2,3,No,No recibo bono,Dos,10.0,5,,,,,51-100,Otras industrias,6,9,Ninguna de las anteriores,
Hombre,33,Argentina,Provincia de Buenos Aires,12.0,0.0,3.0,0,Universitario,En curso,Ingeniería en Informática,UAI - Universidad Abierta Interamericana,"Sí, de forma particular",No,Sí,DBA,Windows Server,".NET, C#, Javascript, SQL, VBA",Joomla,"Informix, MariaDB, Microsoft SQL Server, MySQL, Sybase",HP UFT,Visual Studio,Windows,Android,No,0.0,Porcentaje de mi sueldo,Full-Time,120000.0,110000.0,,3,3,No,No recibo bono,Dos,20.0,5,En un trabajo anterior,Heterosexual,,Sí,11-50,Producto basado en Software,9,5,Ninguna de las anteriores,Mercadolibre
Mujer,31,Argentina,Ciudad Autónoma de Buenos Aires,4.0,1.5,0.0,2,Universitario,Completado,Diseño Gráfico,UBA - Universidad de Buenos Aires,"Sí, de forma particular",No,No,UX,Ninguna,Ninguno,Ninguno,Ninguna,Ninguna,Ninguno,macOS,Android,No,0.0,Bruto,Full-Time,103000.0,81000.0,,2,2,De uno a tres sueldos,Performance individual,Uno,16.0,4,En un trabajo anterior,Heterosexual,,,1001-2000,Producto basado en Software,7,10,Clases de gimnasia online,Zetech y globant
Hombre,30,Argentina,Ciudad Autónoma de Buenos Aires,9.0,2.0,2.0,3,Terciario,Completado,Tecnicatura Superior en Análisis de Sistemas,UTN - Universidad Tecnológica Nacional,No,Sí,Sí,Technical Leader,"Amazon Web Services, Azure, Docker, Firebase, Google Cloud Platform/App Engine, Linux, Serverless","CSS, HTML, Javascript, TypeScript","Angular, Node.js, React.js","Google Cloud Storage, MongoDB, Redis","Cypress, Jest, JUnit, Mocha, Postman","Android Studio, Visual Studio Code, Xcode",Windows,iOS,No,0.0,Bruto,Full-Time,182219.0,124127.0,Mi sueldo está dolarizado,4,3,No,No recibo bono,Dos,30.0,5,En un trabajo anterior,Heterosexual,,,51-100,Servicios / Consultoría de Software / Digital,10,7,"Horarios flexibles, Vacaciones flexibles (adicionales a las reglamentarias)",CloudX
Hombre,34,Argentina,Ciudad Autónoma de Buenos Aires,8.0,6.0,4.0,0,Universitario,Incompleto,Ingeniería en Sistemas de Información,UTN - Universidad Tecnológica Nacional,"Sí, de forma particular, Sí, los pagó un empleador",No,No,SysAdmin / DevOps / SRE,"Amazon Web Services, Azure, Docker, Google Cloud Platform/App Engine, IBM Cloud / Watson, Linux, VMWare, Windows Server","Bash/Shell, SQL",WordPress,"Amazon DynamoDB, Amazon RDS/Aurora, ElasticSearch, MariaDB, Microsoft SQL Server, MongoDB, MySQL, Oracle, Percona Server, PostgreSQL",Ninguna,"Atom, Eclipse, Notepad++, Vim",GNU/Linux,Android,"Sí, pasiva",10.0,Porcentaje de mi sueldo,Full-Time,90000.0,75000.0,,2,2,No,No recibo bono,Uno,20.0,3,Jamás,Heterosexual,Visual,No,11-50,Servicios / Consultoría de Software / Digital,6,8,"Capacitaciones y/o cursos, Estacionamiento gratuito / subvencionado, Horarios flexibles",
Hombre,38,Argentina,Ciudad Autónoma de Buenos Aires,20.0,7.0,7.0,0,Secundario,Completado,Telecomunicaciones,UBA - Universidad de Buenos Aires,"Sí, de forma particular, Sí, los pagó un empleador",No,No,HelpDesk,"Amazon Web Services, *BSD, Google Cloud Platform/App Engine, Linux, Windows Server","Bash/Shell, SQL",WordPress,"MariaDB, MySQL",Ninguna,Ninguno,Windows,Android,No,0.0,Bruto,Full-Time,55000.0,45000.0,,3,4,De uno a tres sueldos,Performance individual,Uno,25.0,4,Jamás,¿Qué les importa?,,,11-50,Producto basado en Software,10,7,"Abono de celular, Comidas pagas / subvencionadas, Horarios flexibles, Vacaciones flexibles (adicionales a las reglamentarias)",
Hombre,23,Argentina,Entre Ríos,1.0,1.0,1.0,0,Universitario,En curso,Ingeniería en Sistemas de Información,UTN - Universidad Tecnológica Nacional,"Sí, los pagó un empleador",No,No,Developer,"Docker, Linux",Java,Hibernate,Informix,Ninguna,Eclipse,GNU/Linux,Android,No,0.0,Bruto,Full-Time,47000.0,39000.0,,3,2,No,No recibo bono,Uno,1.0,2,Jamás,Heterosexual,,,11-50,Producto basado en Software,10,10,"Capacitaciones y/o cursos, Vacaciones flexibles (adicionales a las reglamentarias)",
Hombre,31,Argentina,Ciudad Autónoma de Buenos Aires,2.0,1.0,1.0,0,Secundario,Completado,,,"Sí, de forma particular",Sí,Sí,Developer,"Docker, Firebase, Heroku, Linux","CSS, HTML, Javascript, Python",".NET Core, Angular, Bootstrap, Django, jQuery, Node.js, React.js, Vue.js","MongoDB, MySQL","Cypress, Jest","Android Studio, Sublime Text, Visual Studio, Visual Studio Code",GNU/Linux,Android,No,0.0,Porcentaje de mi sueldo,Full-Time,70000.0,57477.0,,2,2,No,No recibo bono,Uno,5.0,4,Jamás,Helicóptero apache andino de bigote tupido,,,11-50,Producto basado en Software,9,10,"Capacitaciones y/o cursos, Clases de idiomas, Descuentos varios (Mercado Pago, Clarín 365, Club La Nación, etc), Horarios flexibles, Licencia de paternidad/maternidad extendida, Vacaciones flexibles (adicionales a las reglamentarias), afters",
Hombre,40,Argentina,Ciudad Autónoma de Buenos Aires,9.0,1.0,1.0,0,Terciario,Completado,Analista de Sistemas,IRSO,"Sí, de forma particular, Sí, los pagó un empleador",No,No,QA / Tester,Ninguna,Ninguno,Ninguno,Ninguna,Postman,Visual Studio Code,macOS,iOS,No,0.0,Bruto,Freelance,240000.0,200000.0,Mi sueldo está dolarizado,3,4,No,No recibo bono,No,0.0,0,Jamás,Heterosexual,"falta la opcion ""no""",No,1-10,Servicios / Consultoría de Software / Digital,9,10,Ninguna de las anteriores,"Mulesoft, Asapp, Auth0, Medallia, aerolab, Uala"
Hombre,23,Argentina,Provincia de Buenos Aires,2.0,0.0,0.0,0,Terciario,Incompleto,Tecnicatura en Programación,UTN - Universidad Tecnológica Nacional,"Sí, de forma particular, Sí, los pagó un empleador",No,No,Developer,Azure,".NET, Javascript",".NET Core, Angular, Bootstrap",Microsoft SQL Server,Ninguna,"Visual Studio, Visual Studio Code",Windows,Android,No,0.0,Bruto,Full-Time,71000.0,57000.0,,2,2,Menos de un sueldo,Performance individual,No,0.0,0,Jamás,Heterosexual,,,101-200,Servicios / Consultoría de Software / Digital,7,10,"Abono de Internet, Capacitaciones y/o cursos, Clases de gimnasia online, Clases de idiomas, Comidas pagas / subvencionadas, Licencia de paternidad/maternidad extendida",
Hombre,25,Argentina,Ciudad Autónoma de Buenos Aires,4.0,0.0,0.0,0,Terciario,Completado,Tecnicatura Superior en Programación,UTN - Universidad Tecnológica Nacional,No,No,No,Developer,Ninguna,"CSS, HTML, Javascript","Node.js, React.js",Ninguna,Karma,Visual Studio Code,macOS,Android,No,0.0,Bruto,Full-Time,90278.0,72600.0,,3,3,No,Performance grupal,No,0.0,0,Jamás,Bisexual o queer,Trastorno psiquiátrico,No,10001+,Producto basado en Software,6,10,"Clases de gimnasia online, Clases de idiomas, Comidas pagas / subvencionadas, Descuentos varios (Mercado Pago, Clarín 365, Club La Nación, etc), Horarios flexibles, Licencia de paternidad/maternidad extendida",
Mujer,25,Argentina,Ciudad Autónoma de Buenos Aires,5.0,1.5,5.0,0,Universitario,En curso,Diseño Gráfico,UBA - Universidad de Buenos Aires,"Sí, de forma particular",No,Sí,Designer,"Adobe illustrator, photoshop, after effects, in design, brackets",HTML,Bootstrap,Ninguna,Ninguna,Ninguno,macOS,iOS,No,0.0,Porcentaje de mi sueldo,Part-Time,1.0,14500.0,,1,1,No,No recibo bono,No,0.0,1,Jamás,Heterosexual,,,1-10,Otras industrias,1,1,Ninguna de las anteriores,
Hombre,41,Argentina,Ciudad Autónoma de Buenos Aires,10.0,20.0,5.0,0,Universitario,Incompleto,Analista de Sistemas,UP - Universidad de Palermo,"Sí, de forma particular, Sí, los pagó un empleador",No,No,Architect,"OpenShift, VMWare, Windows Server",Ninguno,Ninguno,"Microsoft SQL Server, MySQL",Ninguna,Ninguno,Windows,Android,No,0.0,Porcentaje de mi sueldo,Full-Time,140000.0,100000.0,,3,3,Un sueldo,Mix de las anteriores,Uno,8.0,4,Jamás,¿Qué les importa?,,,10001+,Otras industrias,8,8,"Abono de celular, Abono de Internet, Capacitaciones y/o cursos, Clases de gimnasia online, Clases de idiomas",
Hombre,28,Argentina,Ciudad Autónoma de Buenos Aires,15.0,5.0,5.0,0,Universitario,Incompleto,Ingeniería en Sistemas de Información,UTN - Universidad Tecnológica Nacional,"Sí, de forma particular",No,Sí,HelpDesk,"Azure, Google Cloud Platform/App Engine, Linux, VMWare, Windows Server",Ninguno,Ninguno,Ninguna,Ninguna,Ninguno,Windows,Android,"Sí, pasiva",4500.0,Bruto,Full-Time,45000.0,38000.0,,2,1,No,No recibo bono,No,0.0,0,En mi trabajo actual,Heterosexual,,No,1001-2000,Otras industrias,5,8,"Abono de Internet, Comidas pagas / subvencionadas, Horarios flexibles, Vacaciones flexibles (adicionales a las reglamentarias)",
Hombre,43,Argentina,Ciudad Autónoma de Buenos Aires,20.0,13.0,5.0,5,Universitario,Incompleto,Analista de Sistemas,UBA - Universidad de Buenos Aires,"Sí, de forma particular, Sí, los pagó un empleador",No,No,Architect,"AIX, Amazon Web Services, Linux, Windows Server","HTML, Java, Javascript, SQL","Angular, Bootstrap, Hibernate, jQuery, Spring","Informix, Microsoft SQL Server, MySQL, Oracle",JUnit,"Eclipse, Notepad++",Windows,iOS,"Sí, activa",40000.0,Neto,Full-Time,160000.0,115000.0,,3,3,Un sueldo,Performance individual,Uno,15.0,3,Jamás,Heterosexual,,,201-500,Servicios / Consultoría de Software / Digital,7,7,"Abono de celular, Capacitaciones y/o cursos, Vacaciones flexibles (adicionales a las reglamentarias)",
Mujer,22,Argentina,Ciudad Autónoma de Buenos Aires,0.0,0.0,0.0,0,Universitario,En curso,Ingeniería en Informática,UBA - Universidad de Buenos Aires,No,No,No,Consultant,"Amazon Web Services, Azure, Linux","Bash/Shell, Python",Hadoop,"Apache Hive, ElasticSearch, Microsoft Azure (Tables, CosmosDB, SQL, etc)",Ninguna,Visual Studio Code,Windows,Android,No,0.0,Porcentaje de mi sueldo,Part-Time,39000.0,35000.0,,3,3,No,No recibo bono,Uno,10.0,4,Jamás,Heterosexual,,No,51-100,Servicios / Consultoría de Software / Digital,6,7,"Capacitaciones y/o cursos, Clases de gimnasia online, Clases de idiomas, Comidas pagas / subvencionadas, Descuentos varios (Mercado Pago, Clarín 365, Club La Nación, etc)",
Mujer,37,Argentina,Santa Fe,12.0,0.0,5.0,7,Universitario,Completado,Analista Universitario de Sistemas,UTN - Universidad Tecnológica Nacional,"Sí, de forma particular, Sí, los pagó un empleador",No,No,Scrum Master,Ninguna,Ninguno,Ninguno,"MongoDB, MySQL",Ninguna,Ninguno,Windows,Android,No,0.0,Bruto,Full-Time,77000.0,63910.0,,2,1,Un sueldo,Mix de las anteriores,No,0.0,0,En mi trabajo actual,Heterosexual,Visual,No,101-200,Producto basado en Software,2,1,Ninguna de las anteriores,
Hombre,24,Argentina,Ciudad Autónoma de Buenos Aires,2.0,1.0,1.0,0,Universitario,En curso,Ingeniería en Informática,UBA - Universidad de Buenos Aires,No,No,Sí,Developer,"Amazon Web Services, Docker, Kubernetes, Linux","Bash/Shell, Go, Java, Javascript",Node.js,PostgreSQL,"Jest, JUnit, Postman","IntelliJ, Sublime Text, Vim, Visual Studio Code",macOS,Android,No,0.0,Porcentaje de mi sueldo,Full-Time,165000.0,100000.0,,3,4,De uno a tres sueldos,Mix de las anteriores,Tres,30.0,6,Jamás,Heterosexual,,,201-500,Producto basado en Software,9,8,"Abono de celular, Capacitaciones y/o cursos, Clases de gimnasia online, Clases de idiomas, Comidas pagas / subvencionadas, Cuota para universidad / posgrados, Descuentos varios (Mercado Pago, Clarín 365, Club La Nación, etc), Horarios flexibles, Licencia de paternidad/maternidad extendida, Stock options / RSUs, Vacaciones flexibles (adicionales a las reglamentarias)",
Hombre,31,Argentina,Ciudad Autónoma de Buenos Aires,5.0,2.0,2.0,0,Universitario,Completado,Ingeniería Industrial,ITBA - Instituto Tecnológico de Buenos Aires,"Sí, de forma particular",No,No,Manager / Director,Firebase,"CSS, HTML, Javascript, Python",Ninguno,Google Cloud Storage,Ninguna,"Atom, Notepad++, RStudio",Windows,Android,No,0.0,Porcentaje de mi sueldo,Remoto (empresa de otro país),400000.0,350000.0,Mi sueldo está dolarizado,4,4,No,No recibo bono,No,0.0,0,Jamás,Heterosexual,,,1-10,Producto basado en Software,9,9,"Comidas pagas / subvencionadas, Horarios flexibles, Licencia de paternidad/maternidad extendida, Vacaciones flexibles (adicionales a las reglamentarias)",
Hombre,41,Argentina,Salta,20.0,14.0,14.0,2,Universitario,Completado,Ingeniería en Computación,Universidad Nacional de Tucuman,"Sí, de forma particular, Sí, los pagó un empleador",No,No,SysAdmin / DevOps / SRE,"Linux, VMWare, Windows Server","C++, Java",Ninguno,"MariaDB, MySQL, Oracle, PostgreSQL",Ninguna,Ninguno,GNU/Linux,Android,"Sí, activa",10.0,Porcentaje de mi sueldo,Full-Time,100000.0,80000.0,,2,2,No,No recibo bono,No,0.0,0,En mi trabajo actual,Heterosexual,,No,501-1000,Otras industrias,2,1,Ninguna de las anteriores,
Hombre,39,Argentina,Ciudad Autónoma de Buenos Aires,14.0,8.0,1.0,6,Universitario,En curso,Licenciatura en Informática,UP - Universidad de Palermo,"Sí, de forma particular",No,No,Technical Leader,Linux,Java,Spring,"MariaDB, Redis",Ninguna,IntelliJ,macOS,Android,No,0.0,Porcentaje de mi sueldo,Full-Time,225867.0,150000.0,,3,3,De uno a tres sueldos,Mix de las anteriores,Uno,35.0,3,En un trabajo anterior,Heterosexual,,,1001-2000,Otras industrias,8,5,"Abono de celular, Capacitaciones y/o cursos, Clases de idiomas, Comidas pagas / subvencionadas, Horarios flexibles, Licencia de paternidad/maternidad extendida, Stock options / RSUs",
Hombre,42,Argentina,Ciudad Autónoma de Buenos Aires,20.0,11.0,11.0,0,Universitario,Incompleto,Ingeniería en Computación,UAI - Universidad Abierta Interamericana,"Sí, de forma particular",No,No,Architect,Linux,"Bash/Shell, Groovy, HTML, Java, Javascript, Kotlin, SQL","Bootstrap, jQuery, EJB",Oracle,JUnit,"Android Studio, IntelliJ, Sublime Text, Vi",Windows,Android,No,0.0,Bruto,Full-Time,125000.0,102000.0,,2,3,Menos de un sueldo,Performance individual,Uno,20.0,3,Jamás,Heterosexual,,,1-10,Producto basado en Software,5,3,"Capacitaciones y/o cursos, Horarios flexibles",
Hombre,22,Argentina,GBA,1.0,1.0,1.0,3,Terciario,En curso,Analista de Sistemas,,"Sí, de forma particular, Sí, los pagó un empleador",No,Sí,Developer,OpenShift,".NET, HTML, Javascript, TypeScript",".NET Core, jQuery",Ninguna,Ninguna,"Visual Studio, Visual Studio Code",Windows,Android,No,0.0,Porcentaje de mi sueldo,Full-Time,87000.0,62800.0,,3,2,Un sueldo,Performance individual,No,0.0,0,Jamás,Heterosexual,,Sí,5001-10000,Producto basado en Software,7,10,"Abono de celular, Abono de Internet, Capacitaciones y/o cursos, Clases de idiomas, Comidas pagas / subvencionadas, Cuota para universidad / posgrados, Horarios flexibles, Licencia de paternidad/maternidad extendida, Vacaciones flexibles (adicionales a las reglamentarias)","globant, banco galicia, bbva, ibm, accenture"
Hombre,29,Argentina,Ciudad Autónoma de Buenos Aires,6.0,1.0,3.0,0,Terciario,Completado,Analista Programador,UTN - Universidad Tecnológica Nacional,"Sí, de forma particular",No,Sí,Infosec,"Amazon Web Services, Azure, Docker, IBM Cloud / Watson, Kubernetes, Linux, VMWare, Windows Server","C, Python",TensorFlow,"MariaDB, MySQL, SQLite",Ninguna,"Atom, Visual Studio Code",Windows,Android,No,0.0,Porcentaje de mi sueldo,Full-Time,110000.0,88000.0,,3,2,Un sueldo,Performance individual,No,0.0,0,Jamás,¿Qué les importa?,,,1001-2000,Otras industrias,7,9,"Comidas pagas / subvencionadas, Horarios flexibles",
Hombre,31,Argentina,Ciudad Autónoma de Buenos Aires,7.0,0.0,0.0,0,Universitario,Completado,Analista de Sistemas,UK - Universidad Kennedy,"Sí, de forma particular",No,Sí,Developer,"Docker, Firebase, Linux, Serverless",Python,"Django, Node.js","ElasticSearch, MongoDB, MySQL, Neo4j, PostgreSQL, Redis, SQLite",Ninguna,"Vim, Visual Studio Code",GNU/Linux,Android,No,0.0,Porcentaje de mi sueldo,Full-Time,140000.0,107000.0,,3,3,Un sueldo,Mix de las anteriores,No,0.0,0,Jamás,Heterosexual,,No,2001-5000,Producto basado en Software,8,8,"Comidas pagas / subvencionadas, Descuentos varios (Mercado Pago, Clarín 365, Club La Nación, etc), Horarios flexibles, Lactario en la oficina",
Hombre,38,Argentina,Provincia de Buenos Aires,16.0,0.0,0.0,0,Universitario,Incompleto,Ingeniería en Informática,UCSA Buenos Aires,No,No,Sí,Developer,Ninguna,Kotlin,Ninguno,SQLite,Ninguna,Android Studio,GNU/Linux,Android,No,0.0,Bruto,Remoto (empresa de otro país),402500.0,285000.0,Mi sueldo está dolarizado,4,4,No,No recibo bono,No,0.0,0,Jamás,Heterosexual,,,1-10,Otras industrias,8,5,"Horarios flexibles, No tengo horarios ni fechas de entrega, mientras mantenga cierto nivel de entrega de tareas nadie me dice nada.",
