Model Name,Test Loss,Test Accuracy
NN_Baseline,0.8482645750045776,0.867926299571991
NN_LSTM,0.11721065640449524,0.9835178256034851
NN_Baseline_Regularized,0.07927247881889343,0.9867879748344421
NN_LSTM_Regularized,0.09265604615211487,0.9871281385421753
NN_Builder,0.06240060180425644,0.9871513247489929
